inegi_entidad,entidad,inegi_municipio,municipio,id_delito,delito,carpetas,tasa,fecha
10,Durango,10004,Cuencame,4200,Robo a casa habitación,0,0,2024-08
10,Durango,10004,Cuencame,4300,Robo a negocio,0,0,2024-08
10,Durango,10004,Cuencame,4400,Robo a transeúnte total,0,0,2024-08
10,Durango,10004,Cuencame,4940,Robo en transporte público,0,0,2024-08
10,Durango,10004,Cuencame,5000,Violación,0,0,2024-08
10,Durango,10004,Cuencame,6000,Violencia familiar,4,10.333781242370605,2024-08
10,Durango,10004,Cuencame,7000,Trata de personas,0,0,2024-08
10,Durango,10004,Cuencame,8000,Narcomenudeo,1,2.5834453105926514,2024-08
10,Durango,10004,Cuencame,9000,Lesiones dolosas,0,0,2024-08
10,Durango,10005,Durango,0,Total de delitos,985,136.7497100830078,2024-08
10,Durango,10005,Durango,1100,Homicidio doloso,1,0.1388321965932846,2024-08
10,Durango,10005,Durango,1120,Feminicidio,0,0,2024-08
10,Durango,10005,Durango,1200,Homicidio culposo,11,1.5271542072296143,2024-08
10,Durango,10005,Durango,2000,Secuestro,0,0,2024-08
10,Durango,10005,Durango,3000,Extorsión,0,0,2024-08
10,Durango,10005,Durango,4001,Robo con violencia,26,3.6096372604370117,2024-08
10,Durango,10005,Durango,4100,Robo de vehículo,50,6.941609859466553,2024-08
10,Durango,10005,Durango,4200,Robo a casa habitación,33,4.581462383270264,2024-08
10,Durango,10005,Durango,4300,Robo a negocio,30,4.164966106414795,2024-08
10,Durango,10005,Durango,4400,Robo a transeúnte total,7,0.9718254059553146,2024-08
10,Durango,10005,Durango,4940,Robo en transporte público,1,0.1388321965932846,2024-08
10,Durango,10005,Durango,5000,Violación,18,2.4989795684814453,2024-08
10,Durango,10005,Durango,6000,Violencia familiar,279,38.73418426513672,2024-08
10,Durango,10005,Durango,7000,Trata de personas,0,0,2024-08
10,Durango,10005,Durango,8000,Narcomenudeo,18,2.4989795684814453,2024-08
10,Durango,10005,Durango,9000,Lesiones dolosas,88,12.217233657836914,2024-08
10,Durango,10006,General Simon Bolivar,0,Total de delitos,2,17.935611724853516,2024-08
10,Durango,10006,General Simon Bolivar,1100,Homicidio doloso,0,0,2024-08
10,Durango,10006,General Simon Bolivar,1120,Feminicidio,0,0,2024-08
10,Durango,10006,General Simon Bolivar,1200,Homicidio culposo,0,0,2024-08
10,Durango,10006,General Simon Bolivar,2000,Secuestro,0,0,2024-08
10,Durango,10006,General Simon Bolivar,3000,Extorsión,0,0,2024-08
10,Durango,10006,General Simon Bolivar,4001,Robo con violencia,0,0,2024-08
10,Durango,10006,General Simon Bolivar,4100,Robo de vehículo,0,0,2024-08
10,Durango,10006,General Simon Bolivar,4200,Robo a casa habitación,0,0,2024-08
10,Durango,10006,General Simon Bolivar,4300,Robo a negocio,0,0,2024-08
10,Durango,10006,General Simon Bolivar,4400,Robo a transeúnte total,0,0,2024-08
10,Durango,10006,General Simon Bolivar,4940,Robo en transporte público,0,0,2024-08
10,Durango,10006,General Simon Bolivar,5000,Violación,0,0,2024-08
10,Durango,10006,General Simon Bolivar,6000,Violencia familiar,1,8.967805862426758,2024-08
10,Durango,10006,General Simon Bolivar,7000,Trata de personas,0,0,2024-08
10,Durango,10006,General Simon Bolivar,8000,Narcomenudeo,0,0,2024-08
10,Durango,10006,General Simon Bolivar,9000,Lesiones dolosas,0,0,2024-08
10,Durango,10007,Gomez Palacio,0,Total de delitos,307,80.69751739501953,2024-08
10,Durango,10007,Gomez Palacio,1100,Homicidio doloso,0,0,2024-08
10,Durango,10007,Gomez Palacio,1120,Feminicidio,0,0,2024-08
10,Durango,10007,Gomez Palacio,1200,Homicidio culposo,1,0.2628583610057831,2024-08
10,Durango,10007,Gomez Palacio,2000,Secuestro,0,0,2024-08
10,Durango,10007,Gomez Palacio,3000,Extorsión,0,0,2024-08
10,Durango,10007,Gomez Palacio,4001,Robo con violencia,6,1.5771502256393433,2024-08
10,Durango,10007,Gomez Palacio,4100,Robo de vehículo,6,1.5771502256393433,2024-08
10,Durango,10007,Gomez Palacio,4200,Robo a casa habitación,4,1.0514334440231323,2024-08
10,Durango,10007,Gomez Palacio,4300,Robo a negocio,11,2.891442060470581,2024-08
10,Durango,10007,Gomez Palacio,4400,Robo a transeúnte total,0,0,2024-08
10,Durango,10007,Gomez Palacio,4940,Robo en transporte público,0,0,2024-08
